	а	б	в	г	д	е	ж	з	и	й	к	л	м	н	о	п	р	с	т	у	ф	х	ц	ч	ш	щ	ы	ь	э	ю	я
а	0.00044953420429893397	0.001832907381146258	0.005200688420921232	0.0011126592554053915	0.0033603302152169653	0.002178129757890814	0.0016913413691187356	0.005205655661966477	0.0015373572421414816	0.0016342182698110882	0.00790782807945885	0.011062018223079824	0.004843047990910041	0.006037666365800017	0.0017236283742297312	0.003750257675012391	0.004038356878429584	0.006971505498724456	0.006646151987467926	0.0007152809217054792	0.0003203862578746662	0.002257605404892206	0.00017385299246527967	0.001981924304088125	0.000784822185309335	0.0003675749367749198	0.0	0.0	0.0005091409488024422	0.0008270435984911052	0.003611175332853968
б	0.0008270435861544859	0.0	6.954120192075956e-05	0.0	2.2352523020505956e-05	0.002145842789789676	6.209036502613066e-05	0.0	0.0008270435738178667	0.0	0.00016640218024388927	0.0006581577977245936	0.00010431180288113935	0.0007798548949176131	0.002640082089476099	1.9868914834502735e-05	0.0012144874007540508	0.0001788202211739054	9.934457417251368e-06	0.00146036525267257	0.0	8.94101167552623e-05	0.0	2.98033722517541e-05	1.9868914834502735e-05	0.00021855805084291082	0.004212209932577961	0.00028064842820566075	0.00011424626029839073	9.934457417251368e-06	0.0005761985302005793
в	0.0058315264422434555	7.947565933801094e-05	0.0004569850411935629	0.00022849252059678146	0.0006258708172868361	0.005386959565346101	2.98033722517541e-05	0.0008419452476071245	0.0029107959985814123	0.0	0.0008692650116728755	0.0007127973135194759	0.000504173744767055	0.0015597098268450838	0.007945082424308044	0.0006954119945343572	0.0008320108025264923	0.0042892019837299684	0.0006457397321213388	0.000747567926816475	2.98033722517541e-05	5.96067445035082e-05	4.222145019162793e-05	0.0002483614354312842	0.0005612968564113215	0.0	0.0028089678532327526	0.00023345974930540713	0.00017136938427927647	1.9868914834502735e-05	0.0003551568464984267
г	0.0016938250019779772	4.9672287086256834e-05	8.195926752401415e-05	0.0	0.001529906405246853	0.0002384269780140328	0.0	9.934457417251368e-06	0.0007699204621736001	0.0	0.0002632630968839227	0.0020067604229580143	4.222145019162793e-05	0.00045450140833432117	0.006911898741884329	9.437734546388797e-05	0.000981027626775405	0.00011176263977576826	8.69264838960206e-05	0.0008096582795059864	0.0	0.0	0.0	3.973782966900547e-05	9.934457417251368e-06	0.0	0.0	0.0	9.934457417251368e-06	0.0	0.0
д	0.0052131065605442025	5.96067445035082e-05	0.0007997238344253542	0.0001192134890070164	6.954120192075956e-05	0.005086442234642557	6.954120192075956e-05	0.00010927903158976502	0.0032137969744808173	0.0	0.0004147636033385542	0.000861814199451485	5.96067445035082e-05	0.0021284575324876536	0.0040805783903043085	0.0001962055278224049	0.0013585370949872918	0.0004420833427310666	0.00027816480768303825	0.0017534317588181049	1.2418077939873829e-05	7.947565933801094e-05	0.00025084505595390663	2.2352535357125197e-05	3.973782966900547e-05	0.0	0.0008493961215116111	0.0012244218705079212	0.0	2.2352535357125197e-05	0.00039489467616743223
е	0.0003626076957296749	0.003097067093659804	0.003462158397575482	0.0034249041884290995	0.003606208054798865	0.0023867533389798543	0.0009636423571367634	0.003196411717178795	0.0012641596755036883	0.002078785208391539	0.0024016550991254465	0.005806690372720044	0.005391926806391347	0.008339976989445903	0.0015895131744235996	0.0036384950475732416	0.00708575170967637	0.006223937559571362	0.00766195023987695	0.0007997238220887351	0.0001490168612587705	0.000839461676430979	0.00034273878089517213	0.0018627107904078699	0.0012492580387242882	0.0009040356373064937	0.0	0.0	0.0003253534619100534	0.00014156601202752238	0.0004718867396560592
ж	0.0012095201843820443	1.9868914834502735e-05	1.9868914834502735e-05	3.2286992774376564e-05	0.0009189372987591323	0.0039961355392675296	4.470505837763115e-05	0.0	0.0015746115129709611	0.0	0.0003303207029552983	7.947565933801094e-05	9.934457417251368e-06	0.0013063811750417932	3.973782966900547e-05	9.934457417251368e-06	2.98033722517541e-05	4.222145019162793e-05	1.9868914834502735e-05	0.0003054845594121699	0.0	9.934457417251368e-06	0.0	8.94101167552623e-05	0.0	0.0	0.0	5.96067445035082e-05	0.0	0.0	9.934457417251368e-06
з	0.006204068681746717	0.00015895131867602188	0.0011573642520999266	0.0005538460195166926	0.0010257326851530362	0.0004569850411935629	0.00015150048178139296	0.00016143492686202508	0.0003998618925394386	0.0	0.0003129353963067988	0.0004371161263590601	0.0004917556298173234	0.002627664011536225	0.0008369780312351181	0.00022352529188815576	0.00042469806075580554	0.00018875469092777595	0.00014156601202752238	0.0005141081775110679	0.0	6.954120192075956e-05	9.934457417251368e-06	1.9868914834502735e-05	6.209036502613066e-05	0.0	0.0005041737077571973	0.0003526732259758043	4.9672287086256834e-05	9.934457417251368e-06	0.0002880992527636704
и	0.0004321488976504345	0.0014553979992907062	0.004326456266896067	0.0009735768145540147	0.0025655736095002366	0.0025705408505454813	0.0006084855106383366	0.002679819894471866	0.0013957912547871978	0.0008369780065618796	0.004356259577464724	0.007048497562213084	0.003891823711713152	0.005836493744971797	0.0015323900504427138	0.002535770298931579	0.0016068984810720989	0.00445063695993847	0.005123696394442464	0.0005513623989940701	0.0003551568464984267	0.0021359083693822823	0.0007177645298914823	0.001808071212929891	0.0008444288681297468	0.00020862359342565948	0.0	0.0	0.00023097612878278468	0.00021359084680752362	0.001249257977041192
й	0.00022600892474739748	0.000260779513371158	0.0008121419000286088	0.00026574674207978366	0.0005811657589092049	0.00013411517513289346	0.00011176265211238749	0.00016143493919864433	0.00041227998281593165	0.0	0.0018478090672721349	0.00015150048178139296	0.0004122800074891702	0.0008816830649395107	0.0005538459701702156	0.0009065192578291161	0.0002657467174065452	0.0011275609538678878	0.0008518797050243758	0.00016640215557065075	6.209035268951142e-05	0.00013908240384151913	7.947565933801094e-05	0.0003775093818555519	0.0001192134890070164	0.0	0.0	0.0	6.954120192075956e-05	0.0	0.0001490168612587705
к	0.011459396692482547	0.00021855806317953004	0.0009288717685130028	6.209036502613066e-05	0.00037005854496092305	0.001015798277082262	0.00018378744988253106	0.00030300097589940517	0.004530112594603243	0.0	0.0004495341919623147	0.0007127973011828568	0.00029306649380891534	0.0014479471870693158	0.011243322188142543	0.0004594686617161853	0.002486097974835464	0.0005786821507232018	0.001994342295671664	0.0028437384665297516	0.0	4.9672287086256834e-05	5.96067445035082e-05	0.00018378744988253106	0.00010182818235851688	0.0	0.0	0.0	6.209035268951142e-05	0.0	0.0001788202581837631
л	0.011131559597713251	0.0002384269780140328	0.0005190753938830743	0.00015150048178139296	0.00042221445256980235	0.0048206954185430586	0.00020365638939027228	0.0002533286641399098	0.008267952129992664	0.0	0.0007078300848108504	0.0001192134890070164	0.0002756811871604158	0.0012641597371867846	0.008101550048441727	0.0005463951826220637	9.934457417251367e-05	0.0019322519799920101	0.0003849602064135616	0.0014529143911047027	5.96067445035082e-05	8.94101167552623e-05	4.9672287086256834e-05	0.0005041737200938165	0.00040731275410730607	0.0	0.000993445754061756	0.0054242137128093885	8.444288804663662e-05	0.0011871676983713961	0.0018776125135436046
м	0.0037552248913843974	0.00028064842820566075	0.0005786821260499633	0.0003750257736695487	0.0005712312891553344	0.0041724721769286705	7.947565933801094e-05	0.00022600890007415899	0.00377012665152999	0.0	0.0007624696252789713	0.0003551568464984267	0.0003700585326243038	0.0025457046823291144	0.00603269929746744	0.0009586751531013761	0.0001291479464242678	0.0009388062506034927	0.00042718165660518955	0.0026574673467781216	4.9672287086256834e-05	6.954120192075956e-05	9.934457417251367e-05	0.00026574674207978366	6.954120192075956e-05	0.0	0.0015895131497503608	0.0001415660243641416	8.195927986063338e-05	9.934457417251368e-06	0.0005836493547585889
н	0.013364328809715853	8.94101167552623e-05	0.0003874438516094226	7.947565933801094e-05	0.0004619522699021885	0.012219382684902276	2.98033722517541e-05	0.0001688857884298925	0.007540253204367025	0.0	0.0007326662160173595	2.98033722517541e-05	7.202481010676279e-05	0.00243642565073935	0.011836906000318384	0.0003228698660606694	0.00018875469092777595	0.000695412031544215	0.001080372262631015	0.0034149697186752286	2.98033722517541e-05	3.973782966900547e-05	0.00046443586575157256	0.0002483614354312842	9.934457417251368e-06	0.00010927903158976502	0.003854569564249865	0.001040634408288771	6.954120192075956e-05	0.00019868914834502734	0.0020986541849091376
о	0.00021110722628490117	0.005513623903584366	0.00942780006429831	0.005642771775988919	0.006435044785856264	0.003027525854729187	0.003233665864642081	0.0017832351434064779	0.0021185230627337828	0.004614555507323118	0.00436867761839474	0.00771410612281259	0.007321695104177638	0.009929490151532883	0.0020291129459785204	0.004115348954254831	0.007671884746640678	0.010021383888810768	0.009703481300805202	0.0008344944107124956	0.00016888577609327324	0.0013510861964095668	0.00014156601202752238	0.0037204542780873984	0.0013163156324590445	0.0004495342166355532	0.0	0.0	0.0005339770800089513	0.0002284925329334007	0.001207036563859422
п	0.002356950003737958	0.0	9.934457417251368e-06	0.0	0.0	0.0022352529188815577	0.0	0.0	0.00114742988103901	0.0	0.0005488787784714476	0.0011722659875722805	0.0	6.45739732121339e-05	0.011859258622031844	5.96067445035082e-05	0.006181716097043115	9.934457417251368e-06	0.0002856156199044287	0.0008692650240094946	1.2418065603254588e-05	0.0	0.0	8.195926752401415e-05	1.9868914834502735e-05	0.0	0.0004222144402331831	3.973782966900547e-05	0.0	1.9868914834502735e-05	0.00028809926510028964
р	0.008337493479952853	5.96067445035082e-05	0.0005066573406164389	0.0003030009512261667	0.00035018963012642027	0.005543427251162881	0.0002483614354312842	8.94101167552623e-05	0.0045201781988690876	0.0	0.0007922729851941061	7.450843062938524e-05	0.00033777153984992724	0.0012219382623219182	0.008990683962612487	0.0003402551603725497	9.189373727788476e-05	0.0004321488976504345	0.0006432561362719549	0.0031119688044589193	1.9868914834502735e-05	0.00023345974930540713	4.9672287086256834e-05	9.934457417251367e-05	0.0005265262431143224	0.00010182819469513614	0.0017658498367579786	0.0005712313014919536	4.9672287086256834e-05	0.0005836493794318274	0.0012368399484477951
с	0.001820489303206384	0.00020117276886764984	0.0013187992283084284	8.444288804663662e-05	0.0005339770800089513	0.004286718363207345	8.444290038325586e-05	0.00010927903158976502	0.0020738179426730554	0.0	0.005026835403782715	0.0033454285167544688	0.0012269055033671632	0.0017683334202707433	0.0030598129461965173	0.002272507091018083	0.0003775093818555519	0.0008220763574458603	0.010985026319967247	0.0007376334447259851	3.973782966900547e-05	0.00016640215557065075	7.202481010676279e-05	0.00031790264968866296	6.209035268951142e-05	0.0	0.00037005855729754225	0.004169988457713094	0.0	0.0002160744426569076	0.004319005343645103
т	0.00767933568222826	0.0002806484158690415	0.0027046560010051367	0.00022352529188815576	0.00041973081971056065	0.004775990421848523	0.00011176265211238749	0.0002756811871604158	0.004500309222351488	0.0	0.001080372262631015	0.0004172472115245574	0.0003601240875436717	0.0021657117416340366	0.016275124795960647	0.0006854775617903443	0.0037477740051432918	0.0021234902791057893	0.0005588132235520798	0.0021185230874070215	5.215589527226006e-05	9.189372494126553e-05	3.973782966900547e-05	0.0003452223890811754	9.934457417251368e-06	9.934457417251368e-06	0.0018478090672721349	0.007473195573622411	0.00016143492686202508	0.00018875469092777595	0.0007401171022584654
у	0.0002210416466922948	0.0006283544254728394	0.0012765777657801813	0.0013709551852637847	0.002257605429565444	0.00036260768339305567	0.0017608825463662566	0.0004172472115245574	0.0005911002163264563	0.0001192134890070164	0.0018105548334525134	0.0017782678776879946	0.0016640215557065076	0.0016565708051682134	0.0005637804399240861	0.001703759422385371	0.0008568469337330016	0.001959571744057761	0.0025208686498155593	0.0001490168612587705	4.9672287086256834e-05	0.000680510357754957	0.00015895131867602188	0.001773300648979369	0.0004619522699021885	0.00040482914592130287	0.0	0.0	8.94101167552623e-05	0.0011573643631294997	0.00012169709719301962
ф	0.00028064842820566075	0.0	9.934457417251368e-06	0.0	0.0	1.9868914834502735e-05	0.0	0.0	0.00026326313389378047	0.0	3.477061329699902e-05	5.96067445035082e-05	3.973782966900547e-05	9.934457417251368e-06	0.00045450143300755966	1.2418065603254588e-05	0.00012418070537902284	1.2418077939873829e-05	3.973782966900547e-05	8.94101167552623e-05	0.0	0.0	0.0	0.0	0.0	0.0	5.712311164426649e-05	3.973782966900547e-05	0.0	9.934457417251368e-06	0.0
х	0.0007848221482994772	0.00018627108274177275	0.000618419968055588	0.0001962055401590241	0.0001465332283995288	9.934457417251367e-05	0.0	0.0001341151627962742	0.000655674177201971	0.0	0.00021607445499352684	0.0010033802608254844	0.00024091058620003602	0.0006631250017599806	0.003486994565791849	0.0005240426349283192	0.0003924110803180482	0.000392411067981429	0.00023842699035065204	0.00012418070537902284	2.4836155879747658e-05	4.222143785500868e-05	1.9868914834502735e-05	7.450841829276601e-05	8.444290038325586e-05	1.9868914834502735e-05	0.0	0.0	1.9868914834502735e-05	0.0	4.222143785500868e-05
ц	0.0006060019271255718	9.934457417251368e-06	0.0003179026620252822	0.0	0.0	0.0008841667101353717	0.0	0.0	0.0003005173430401635	0.0	9.934457417251367e-05	0.0	9.934457417251368e-06	4.222143785500868e-05	0.0001962055278224049	9.934457417251368e-06	9.934457417251368e-06	1.9868914834502735e-05	9.934457417251368e-06	0.00020365636471703376	0.0	0.0	1.9868914834502735e-05	0.0	0.0	0.0	0.0002086236304355172	0.0	0.0	0.0	0.0
ч	0.0020638835469389003	1.9868914834502735e-05	0.0	0.0	9.934457417251368e-06	0.003504379835430491	0.0	0.0	0.0022203512450922995	0.0	0.0013337009020976864	9.934457417251368e-06	1.9868914834502735e-05	0.0013957912794604363	0.00019123829911377917	9.934457417251368e-06	0.0	2.98033722517541e-05	0.003638495035236623	0.0008220763204360025	0.0	1.9868914834502735e-05	0.0	9.934457417251368e-06	0.00018875467859115673	0.0	0.0	0.0003452223890811754	0.0	0.0	0.0
ш	0.00107540502158577	0.0	3.2286992774376564e-05	0.0	0.0	0.0024413928917845946	0.0	0.0	0.0021557772472069275	0.0	0.0008742322650547395	0.0006109691064877206	1.9868914834502735e-05	0.00031293540864341807	0.00034273876855855294	2.98033722517541e-05	1.9868914834502735e-05	1.9868914834502735e-05	3.973782966900547e-05	0.0001515004694447737	0.0	9.934457417251368e-06	0.0	9.934457417251368e-06	0.0	0.0	0.0	0.0008146254958779929	0.0	0.0	9.934457417251368e-06
щ	0.0004296652894644313	0.0	0.0	0.0	0.0	0.0017161775373351026	0.0	0.0	0.0012591924467950627	0.0	0.0	0.0	9.934457417251368e-06	7.947564700139169e-05	0.0	9.934457417251368e-06	0.0	9.934457417251368e-06	0.0	0.0002955500896582993	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.209036502613066e-05	0.0	0.0	0.0
ы	0.00014156601202752238	0.0005041737077571973	0.001562193435031087	0.000392411067981429	0.00046195225756556936	0.0018279401401010132	0.00010927903158976502	0.0003179026620252822	0.0003775093818555519	0.0017534316971350085	0.0004172472115245574	0.002918246884822518	0.0015547425487899811	0.0009114864865377418	0.00029803371018092173	0.0007227317709367273	0.00023842696567741357	0.001115142875928014	0.0009139700823871258	0.0001862710704051535	1.2418065603254588e-05	0.0012567088262724403	1.9868914834502735e-05	0.0003775093695189327	0.0008941011552160037	2.98033722517541e-05	0.0	0.0	3.973782966900547e-05	0.0	0.000129147958760887
ь	0.0002508450436172874	0.0005240426225917	0.0013386681554795506	0.00027568119949703505	0.0005960674203618435	0.0010008966032930041	7.202481010676279e-05	0.0005960674697083206	0.0009065192701657353	0.0	0.0026723690575772368	0.00023097614111940393	0.0009040356126332552	0.002729492181558123	0.0008642977829642497	0.0010679541970277605	0.0002731975666377933	0.0026748526657632402	0.0008344944477223533	0.00031790263735204376	5.96067445035082e-05	0.0002607795010345388	0.00011672986848439395	0.0005091409611390615	0.0009512242915335087	2.2352523020505956e-05	0.0	0.0	0.0001962055401590241	0.0003973782966900547	0.0016292510411024628
э	0.0	0.0	0.0	0.0	9.934457417251368e-06	0.0	0.0	0.0	0.0	0.0	4.9672287086256834e-05	7.947565933801094e-05	9.934457417251368e-06	5.96067445035082e-05	9.934457417251368e-06	9.934457417251368e-06	6.45739732121339e-05	9.934457417251368e-06	0.002836287617298504	0.0	0.0	9.934457417251368e-06	0.0	0.0	0.0	0.0	0.0	0.0	1.9868914834502735e-05	0.0	0.0
ю	0.00011176263977576826	0.0003452223890811754	0.00029803371018092173	2.98033722517541e-05	0.00047933757655068803	5.21559076088793e-05	3.228698043775732e-05	7.202481010676279e-05	6.209035268951142e-05	0.0	0.00029803371018092173	0.0006358052747040875	0.00026326310922054197	0.00017136938427927647	0.00018627108274177275	0.0003278370700960566	0.00011672985614777469	0.0003104517757841764	0.0007227317215902503	1.9868914834502735e-05	1.9868914834502735e-05	4.9672287086256834e-05	9.934457417251368e-06	0.0003352879440005433	8.94101167552623e-05	0.0004147636033385542	0.0	0.0	1.9868914834502735e-05	2.98033722517541e-05	5.215589527226006e-05
я	0.00020117276886764984	0.0006233872214374521	0.001500103057668337	0.00029555012666815703	0.001378405935802079	0.0004818211847366913	0.0002756811871604158	0.0007252153667861113	0.0009760604104033986	8.94101167552623e-05	0.0010704377805405253	0.0014777504853013543	0.001202069322814177	0.0024860979378256063	0.0009586751284281377	0.0014255946023657136	0.00032535348658329185	0.0017335628316469827	0.002140875598090908	0.00034273878089517213	2.98033722517541e-05	0.0003303207152919176	9.934457417251368e-06	0.0004967228831991876	8.692649623263983e-05	0.0006109691311609591	0.0	0.0	0.000260779513371158	8.444290038325586e-05	0.000260779513371158
